instance,group,n,p,seed,grasp_cost,vnd_cost,final_cost,ils_iterations,ils_improvements,ils_stop_reason,cs_po_triggers,cs_po_improvements,cs_po_total_gain,cs_ils_promotions,time_grasp_s,time_vnd_s,time_ils_s,time_total_s,status
rl1304_300.txt,rl1304,,300,46,296489.9893,223496.9465,195266.8947,116,24,iter_limit,14,7,18318.2666,6,0.8637,18.4997,598.1509,617.5143,OK
u724_010.txt,u724,,10,46,191803.7041,189203.7335,182102.3101,146,9,iter_limit,12,4,736.6383,2,0.0232,0.1254,28.1707,28.3193,OK
u724_030.txt,u724,,30,46,101076.3981,101076.3981,95467.5315,236,12,iter_limit,26,7,2265.6145,5,0.0266,0.0124,42.6496,42.6887,OK
u724_075.txt,u724,,75,46,60045.6478,59668.3852,55347.8226,116,13,iter_limit,14,5,2344.5383,5,0.0704,0.1068,108.4700,108.6473,OK
u724_125.txt,u724,,125,46,46281.6533,42548.9209,39279.0157,106,16,iter_limit,13,5,2003.8078,5,0.0928,1.0655,212.1229,213.2812,OK
u724_200.txt,u724,,200,46,37858.0892,30760.7084,28325.2372,186,28,iter_limit,23,10,1799.3601,10,0.1697,5.4025,751.0140,756.5861,OK
ali535_005.txt,ali535,,5,47,11315.6592,11231.1124,9956.7698,83,8,iter_limit,5,1,13.0450,0,0.0156,0.0135,21.2050,21.2341,OK
ali535_025.txt,ali535,,25,47,4600.1857,4031.0906,3746.1878,123,14,iter_limit,12,4,165.2745,4,0.0285,0.0563,31.7150,31.7998,OK
ali535_050.txt,ali535,,50,47,2760.6510,2705.3733,2500.8933,115,10,iter_limit,12,6,50.5062,5,0.0348,0.1326,156.9754,157.1428,OK
ali535_100.txt,ali535,,100,47,2037.5766,1684.3023,1457.8943,232,21,iter_limit,29,8,55.1638,7,0.0468,0.5968,178.0791,178.7227,OK
ali535_150.txt,ali535,,150,47,1704.1198,1247.6149,1042.4283,147,22,iter_limit,18,7,50.0216,7,0.0696,2.3378,590.1920,592.5994,OK
fnl4461_0020.txt,fnl4461,,20,47,1308578.6537,1305740.5799,1285268.9207,166,16,iter_limit,18,5,3084.9753,5,3.6980,2.0464,756.0169,761.7613,OK
fnl4461_0100.txt,fnl4461,,100,47,578080.8285,577266.8476,557227.4415,210,22,iter_limit,26,9,2821.7376,7,4.5512,6.1564,1590.2616,1600.9693,OK
